ref,type
Bava Batra 2a:1-5,Mishnah
Bava Batra 2a:6-2b:6,Sugya
Bava Batra 2b:7-3a:1,Sugya
Bava Batra 3a:2-14,Sugya
Bava Batra 3a:15-21,Sugya
Bava Batra 3a:22-3b:3,Sugya
Bava Batra 3b:4-7,Sugya
Bava Batra 3b:8-13,Sugya
Bava Batra 3b:14-4a:9,Sugya
Bava Batra 4a:10-11,Sugya
Bava Batra 4a:12-14,Sugya
Bava Batra 4a:15-4b:3,Sugya
Bava Batra 4b:4-6,Sugya
Bava Batra 4b:7,Mishnah
Bava Batra 4b:8-5a:4,Sugya
Bava Batra 5a:5-6,Mishnah
Bava Batra 5a:7-6a:6,Sugya
Bava Batra 6a:7-8,Sugya
Bava Batra 6a:9-6b:2,Sugya
Bava Batra 6b:3-12,Sugya
Bava Batra 6b:13-7b:5,Sugya
Bava Batra 7b:6-7,Mishnah
Bava Batra 7b:8-9,Sugya
Bava Batra 7b:10,Sugya
Bava Batra 7b:11-13,Sugya
Bava Batra 7b:14-8a:11,Sugya
Bava Batra 8a:12-8b:4,Sugya
Bava Batra 8b:5-9a:3,Sugya
Bava Batra 9a:4-9b:6,Sugya
Bava Batra 9b:7-10a:1,Sugya
Bava Batra 10a:2-11a:1,Sugya
Bava Batra 11a:2-4,Sugya
Bava Batra 11a:5-6,Sugya
Bava Batra 11a:7-9,Mishnah
Bava Batra 11a:10-11b:4,Sugya
Bava Batra 11b:5-12a:6,Sugya
Bava Batra 12a:7-12,Sugya
Bava Batra 12a:13-12b:8,Sugya
Bava Batra 12b:9-13a:1,Sugya
Bava Batra 13a:2-13b:8,Sugya
Bava Batra 13b:9-14a:4,Sugya
Bava Batra 14a:5-14b:7,Sugya
Bava Batra 14b:8-15b:11,Sugya
Bava Batra 15b:12-17a:6,Sugya
Bava Batra 17a:8-10,Mishnah
Bava Batra 17b:1-3,Sugya
Bava Batra 17b:4-19a:1,Sugya
Bava Batra 19a:2-3,Sugya
Bava Batra 19a:4-8,Sugya
Bava Batra 19a:9-16,Sugya
Bava Batra 19a:17-19b:2,Sugya
Bava Batra 19b:3-6,Sugya
Bava Batra 19b:7-20b:3,Sugya
Bava Batra 20b:4-5,Sugya
Bava Batra 20b:6-7,Sugya
Bava Batra 20b:8-10,Mishnah
Bava Batra 20b:11-13,Sugya
Bava Batra 20b:14,Sugya
Bava Batra 20b:15,Mishnah
Bava Batra 20b:16-21a:8,Sugya
Bava Batra 21a:9-21b:3,Sugya
Bava Batra 21b:4-22a:3,Sugya
Bava Batra 22a:4-5,Sugya
Bava Batra 22a:6-12,Sugya
Bava Batra 22a:13,Mishnah
Bava Batra 22a:14-22b:9,Sugya
Bava Batra 22b:10,Mishnah
Bava Batra 22b:11-23a:2,Sugya
Bava Batra 23a:3,Mishnah
Bava Batra 23a:4-6,Sugya
Bava Batra 23a:7-10,Sugya
Bava Batra 23a:11,Sugya
Bava Batra 23b:1,Mishnah
Bava Batra 23b:2-24a:8,Sugya
Bava Batra 24a:9-24b:1,Sugya
Bava Batra 24b:2,Mishnah
Bava Batra 24b:3-7,Sugya
Bava Batra 24b:8-11,Sugya
Bava Batra 24b:12-13,Sugya
Bava Batra 24b:14,Mishnah
Bava Batra 24b:15-25a:1,Sugya
Bava Batra 25a:2,Mishnah
Bava Batra 25a:3-4,Sugya
Bava Batra 25a:5-25b:5,Sugya
Bava Batra 25b:6-9,Sugya
Bava Batra 25b:10,Sugya
Bava Batra 25b:11,Mishnah
Bava Batra 25b:12-26a:4,Sugya
Bava Batra 26a:5-6,Mishnah
Bava Batra 26a:7-26b:1,Sugya
Bava Batra 26b:2-27b:11,Sugya
Bava Batra 27b:12,Mishnah
Bava Batra 27b:13-15,Sugya
Bava Batra 27b:16,Mishnah
Bava Batra 27b:17-19,Sugya
Bava Batra 27b:20-21,Sugya
Bava Batra 27b:22-23,Sugya
Bava Batra 28a:1-5,Mishnah
Bava Batra 28a:6-29a:8,Sugya
Bava Batra 29a:9-29b:5,Sugya
Bava Batra 29b:6-8,Sugya
Bava Batra 29b:9-32a:6,Sugya
Bava Batra 32a:7-33b:1,Sugya
Bava Batra 33b:2-34a:4,Sugya
Bava Batra 34b:1-35b:3,Sugya
Bava Batra 35b:4-6,Sugya
Bava Batra 35b:7-36a:8,Sugya
Bava Batra 36a:9-12,Sugya
Bava Batra 36a:13-36b:7,Sugya
Bava Batra 36b:8-37a:2,Sugya
Bava Batra 37a:3-37b:4,Sugya
Bava Batra 37b:5-38a:3,Sugya
Bava Batra 38a:4,Mishnah
Bava Batra 38a:5-38b:1,Sugya
Bava Batra 38b:2-7,Sugya
Bava Batra 38b:8-39a:4,Sugya
Bava Batra 39a:5-6,Sugya
Bava Batra 39a:7-39b:3,Sugya
Bava Batra 39b:4-6,Sugya
Bava Batra 39b:7-40a:5,Sugya
Bava Batra 40a:6-40b:3,Sugya
Bava Batra 40b:4-41a:1,Sugya
Bava Batra 41a:2-3,Mishnah
Bava Batra 41a:4-5,Sugya
Bava Batra 41a:6-41b:4,Sugya
Bava Batra 41b:5-9,Sugya
Bava Batra 41b:10-42a:7,Sugya
Bava Batra 42a:8-9,Mishnah
Bava Batra 42b:1-4,Sugya
Bava Batra 42b:5-43a:13,Sugya
Bava Batra 43a:14-43b:1,Sugya
Bava Batra 43b:2-44b:10,Sugya
Bava Batra 44b:11-45a:3,Sugya
Bava Batra 45a:4-6,Sugya
Bava Batra 45a:7-46a:4,Sugya
Bava Batra 46a:5-7,Sugya
Bava Batra 46a:8-46b:2,Sugya
Bava Batra 46b:3-7,Sugya
Bava Batra 46b:8-47a:1,Sugya
Bava Batra 47a:2-6,Sugya
Bava Batra 47a:7-47b:1,Sugya
Bava Batra 47b:2-6,Sugya
Bava Batra 47b:7-48b:6,Sugya
Bava Batra 48b:7-49a:4,Sugya
Bava Batra 49a:5-49b:2,Sugya
Bava Batra 49b:3-50b:3,Sugya
Bava Batra 50b:4-51a:1,Sugya
Bava Batra 51a:2-51b:7,Sugya
Bava Batra 51b:8-52a:5,Sugya
Bava Batra 52a:6-7,Sugya
Bava Batra 52a:8-52b:6,Sugya
Bava Batra 52b:7-53a:2,Sugya
Bava Batra 53a:3-7,Sugya
Bava Batra 53a:8-53b:5,Sugya
Bava Batra 53b:6-54a:7,Sugya
Bava Batra 54a:8-54b:1,Sugya
Bava Batra 54b:2-55a:2,Sugya
Bava Batra 55a:3-8,Sugya
Bava Batra 55a:9-56a:9,Sugya
Bava Batra 56a:10-56b:2,Mishnah
Bava Batra 56b:3-6,Sugya
Bava Batra 56b:7-8,Sugya
Bava Batra 56b:9-57a:3,Sugya
Bava Batra 57a:4,Mishnah
Bava Batra 57a:5-57b:8,Sugya
Bava Batra 57b:9-58a:2,Sugya
Bava Batra 58a:3-8,Sugya
Bava Batra 58a:9-58b:3,Sugya
Bava Batra 58b:4-6,Mishnah
Bava Batra 58b:7-59a:5,Sugya
Bava Batra 59a:6-11,Sugya
Bava Batra 59a:12-59b:1,Mishnah
Bava Batra 59b:2-6,Sugya
Bava Batra 59b:7,Mishnah
Bava Batra 59b:8-60a:1,Sugya
Bava Batra 60a:2-3,Sugya
Bava Batra 60a:4,Mishnah
