ref,type
Bava Metzia 2a:1-4,Mishnah
Bava Metzia 2a:5-2b:3,Sugya
Bava Metzia 2b:4-3a:2,Sugya
Bava Metzia 3a:3-13,Sugya
Bava Metzia 3a:14-5a:6,Sugya
Bava Metzia 5a:7-13,Sugya
Bava Metzia 5a:14-5b:3,Sugya
Bava Metzia 5b:4-7,Sugya
Bava Metzia 5b:8-6a:9,Sugya
Bava Metzia 6a:10-7a:6,Sugya
Bava Metzia 7a:7-14,Sugya
Bava Metzia 7a:15-7b:12,Sugya
Bava Metzia 7b:13-8a:3,Sugya
Bava Metzia 8a:4-23,Sugya
Bava Metzia 8a:24-9b:1,Sugya
Bava Metzia 9b:2-8,Sugya
Bava Metzia 9b:9,Mishnah
Bava Metzia 9b:10-10a:4,Sugya
Bava Metzia 10a:5-12,Sugya
Bava Metzia 10a:13,Mishnah
Bava Metzia 10a:14-10b:6,Sugya
Bava Metzia 10b:7-11a:4,Sugya
Bava Metzia 11a:5,Mishnah
Bava Metzia 11a:6-12a:1,Sugya
Bava Metzia 12a:2-5,Sugya
Bava Metzia 12a:6,Mishnah
Bava Metzia 12a:7-12b:2,Sugya
Bava Metzia 12b:3-7,Sugya
Bava Metzia 12b:8-12,Sugya
Bava Metzia 12b:13-15,Sugya
Bava Metzia 12b:16-17,Mishnah
Bava Metzia 12b:18-13b:1,Sugya
Bava Metzia 13b:2-14a:4,Sugya
Bava Metzia 14a:5-9,Sugya
Bava Metzia 14a:10-14b:2,Sugya
Bava Metzia 14b:3-15a:6,Sugya
Bava Metzia 15a:7-15b:5,Sugya
Bava Metzia 15b:6-16,Sugya
Bava Metzia 15b:17-16a:5,Sugya
Bava Metzia 16a:6-12,Sugya
Bava Metzia 16a:13-16b:1,Sugya
Bava Metzia 16b:2-7,Sugya
Bava Metzia 16b:8-14,Sugya
Bava Metzia 16b:15-17a:11,Sugya
Bava Metzia 17a:12-23,Sugya
Bava Metzia 17a:24-18a:7,Sugya
Bava Metzia 18a:8,Mishnah
Bava Metzia 18a:9-19a:1,Sugya
Bava Metzia 19a:2-9,Sugya
Bava Metzia 19a:10-13,Sugya
Bava Metzia 19a:14-16,Sugya
Bava Metzia 19a:17-19b:14,Sugya
Bava Metzia 19b:15-20a:3,Sugya
Bava Metzia 20a:4-6,Mishnah
Bava Metzia 20a:7,Sugya
Bava Metzia 20a:8-20b:3,Sugya
Bava Metzia 20b:4-11,Sugya
Bava Metzia 20b:12-14,Sugya
Bava Metzia 20b:15-17,Sugya
Bava Metzia 20b:18-21a:5,Sugya
Bava Metzia 21a:7-10,Mishnah
Bava Metzia 21a:11-18,Sugya
Bava Metzia 21a:19-22b:10,Sugya
Bava Metzia 22b:11-23a:13,Sugya
Bava Metzia 23a:14-15,Sugya
Bava Metzia 23b:1-6,Sugya
Bava Metzia 23b:7-9,Sugya
Bava Metzia 23b:10-24a:4,Sugya
Bava Metzia 24a:5-24b:11,Sugya
Bava Metzia 24b:12-25a:1,Mishnah
Bava Metzia 25a:2-7,Sugya
Bava Metzia 25a:8,Sugya
Bava Metzia 25a:9-25b:2,Sugya
Bava Metzia 25b:3,Sugya
Bava Metzia 25b:4,Mishnah
Bava Metzia 25b:5-8,Sugya
Bava Metzia 25b:9-13,Sugya
Bava Metzia 25b:14,Mishnah
Bava Metzia 25b:15-26a:1,Sugya
Bava Metzia 26a:2-5,Sugya
Bava Metzia 26a:6-26b:4,Sugya
Bava Metzia 26b:5-8,Sugya
Bava Metzia 26b:9-10,Mishnah
Bava Metzia 26b:11-13,Sugya
Bava Metzia 26b:14-27a:2,Sugya
Bava Metzia 27a:3,Mishnah
Bava Metzia 27a:4-23,Sugya
