ref,type
Horayot 2a:1-2,Mishnah
Horayot 2a:3-9,Sugya
Horayot 2a:10-19,Sugya
Horayot 2a:20-2b:1,Sugya
Horayot 2b:2-3,Sugya
Horayot 2b:4-6,Sugya
Horayot 2b:7-8,Sugya
Horayot 2b:9-3a:2,Sugya
Horayot 3a:3-11,Sugya
Horayot 3a:12,Sugya
Horayot 3a:13-16,Sugya
Horayot 3a:17-20,Sugya
Horayot 3a:21-3b:1,Sugya
Horayot 3b:2-10,Sugya
Horayot 3b:11-16,Mishnah
Horayot 3b:17-4a:3,Sugya
Horayot 4a:4-5,Sugya
Horayot 4a:6-11,Sugya
Horayot 4a:12-21,Sugya
Horayot 4b:1-10,Sugya
Horayot 4b:11-12,Mishnah
Horayot 4b:13-15,Sugya
Horayot 4b:16,Mishnah
Horayot 4b:17-18,Sugya
Horayot 4b:19-5a:3,Mishnah
Horayot 5a:4-5b:3,Sugya
Horayot 5b:4-13,Sugya
Horayot 5b:14-16,Sugya
Horayot 5b:17-6a:10,Sugya
Horayot 6a:11-6b:10,Sugya
Horayot 6b:11,Mishnah
Horayot 6b:12-13,Sugya
Horayot 6b:14-7a:9,Sugya
Horayot 7a:10,Mishnah
Horayot 7a:11-7b:1,Sugya
Horayot 7b:2-5,Sugya
Horayot 7b:6-9,Sugya
Horayot 7b:10,Mishnah
Horayot 7b:11-8a:3,Sugya
Horayot 8a:4,Mishnah
Horayot 8a:5-9,Sugya
Horayot 8a:10-19,Sugya
Horayot 8a:20-8b:1,Sugya
Horayot 8b:2-3,Mishnah
Horayot 8b:4-9,Sugya
Horayot 8b:10,Mishnah
Horayot 8b:11-9a:3,Sugya
Horayot 9a:4-8,Sugya
Horayot 9a:9-11,Mishnah
Horayot 9a:12-9b:2,Sugya
Horayot 9b:3-5,Sugya
Horayot 9b:6-10,Sugya
Horayot 9b:11,Mishnah
Horayot 9b:12-10a:1,Sugya
Horayot 10a:2-4,Sugya
Horayot 10a:5-6,Mishnah
Horayot 10a:7-12,Sugya
Horayot 10a:13-17,Sugya
Horayot 10a:18-10b:1,Sugya
Horayot 10b:2-6,Sugya
Horayot 10b:7-14,Sugya
Horayot 10b:15-18,Sugya
Horayot 10b:19-11a:2,Sugya
Horayot 11a:3-11,Sugya
Horayot 11a:12-19,Sugya
Horayot 11a:20-11b:3,Sugya
Horayot 11b:4-6,Mishnah
Horayot 11b:7-10,Sugya
Horayot 11b:11-12a:3,Sugya
Horayot 12a:4-9,Sugya
Horayot 12a:10-14,Sugya
Horayot 12a:15-17,Sugya
Horayot 12a:18-12b:8,Sugya
Horayot 12b:9-13,Sugya
Horayot 12b:14,Mishnah
Horayot 12b:15-19,Sugya
Horayot 12b:20,Mishnah
Horayot 12b:21-22,Sugya
Horayot 13a:1-7,Sugya
Horayot 13a:8,Mishnah
Horayot 13a:9-16,Sugya
Horayot 13a:17,Mishnah
Horayot 13a:18-13b:1,Sugya
Horayot 13b:2-6,Sugya
Horayot 13b:7-10,Sugya
Horayot 13b:11-14a:2,Sugya
Horayot 14a:3-6,Sugya
