ref,type
Makkot 2a:1-2,Mishnah
Makkot 2a:3-2b:1,Sugya
Makkot 2b:2-4,Sugya
Makkot 2b:5-7,Sugya
Makkot 2b:8-13,Sugya
Makkot 2b:14-15,Sugya
Makkot 2b:16-3a:1,Sugya
Makkot 3a:2-7,Sugya
Makkot 3a:8-9,Mishnah
Makkot 3a:10-12,Sugya
Makkot 3a:13-14,Mishnah
Makkot 3a:15-3b:6,Sugya
Makkot 3b:7-10,Sugya
Makkot 3b:11-14,Sugya
Makkot 3b:15,Sugya
Makkot 3b:16-4a:7,Sugya
Makkot 4a:8-10,Sugya
Makkot 4a:11-12,Mishnah
Makkot 4b:1-9,Sugya
Makkot 4b:10-5a:1,Sugya
Makkot 5a:2,Mishnah
Makkot 5a:3-4,Sugya
Makkot 5a:5-7,Mishnah
Makkot 5a:8-9,Sugya
Makkot 5a:10-19,Sugya
Makkot 5a:20-5b:7,Sugya
Makkot 5b:8-9,Mishnah
Makkot 5b:10-16,Sugya
Makkot 5b:17-20,Sugya
Makkot 5b:21-6a:2,Mishnah
Makkot 6a:3-4,Sugya
Makkot 6a:5-7,Sugya
Makkot 6a:8-10,Sugya
Makkot 6b:1-2,Mishnah
Makkot 6b:3-8,Sugya
Makkot 6b:9-10,Sugya
Makkot 6b:11-7a:1,Sugya
Makkot 7a:2-3,Mishnah
Makkot 7a:4-6,Sugya
Makkot 7a:7-8,Sugya
Makkot 7a:9-12,Sugya
Makkot 7a:14-7b:1,Mishnah
Makkot 7b:2-7,Sugya
Makkot 7b:8-16,Sugya
Makkot 7b:17,Mishnah
Makkot 7b:18-8a:3,Sugya
Makkot 8a:4-6,Mishnah
Makkot 8a:7-9,Sugya
Makkot 8a:10-12,Sugya
Makkot 8a:13-8b:10,Sugya
Makkot 8b:11-14,Sugya
Makkot 8b:15-9a:1,Sugya
Makkot 9a:2-9b:3,Sugya
Makkot 9b:4,Mishnah
Makkot 9b:5-8,Sugya
Makkot 9b:9,Sugya
Makkot 9b:10-13,Sugya
Makkot 9b:14-17,Mishnah
Makkot 9b:18-10a:6,Sugya
Makkot 10a:7-13,Sugya
Makkot 10a:14-23,Sugya
Makkot 10a:24-10b:1,Sugya
Makkot 10b:2-6,Sugya
Makkot 10b:7-15,Sugya
Makkot 10b:16-19,Sugya
Makkot 10b:20-11a:9,Sugya
Makkot 11a:10-11,Mishnah
Makkot 11a:12-13,Sugya
Makkot 11a:14-11b:5,Sugya
Makkot 11b:6-8,Mishnah
Makkot 11b:9-11,Sugya
Makkot 11b:12,Sugya
Makkot 11b:13-12a:1,Sugya
Makkot 12a:2-4,Sugya
Makkot 12a:5-7,Sugya
Makkot 12a:8-15,Sugya
Makkot 12a:16-18,Sugya
Makkot 12a:19,Mishnah
Makkot 12a:20-12b:6,Sugya
Makkot 12b:7,Mishnah
Makkot 12b:8-9,Sugya
Makkot 12b:10-13a:1,Mishnah
Makkot 13a:2-3,Sugya
Makkot 13a:4-6,Sugya
Makkot 13a:8-13,Mishnah
Makkot 13a:14-13b:16,Sugya
Makkot 13b:17-14a:1,Sugya
Makkot 14a:2-14b:5,Sugya
Makkot 14b:6-15,Sugya
Makkot 14b:16-16a:9,Sugya
Makkot 16a:10-16b:6,Sugya
Makkot 16b:7-12,Sugya
Makkot 16b:13-17a:3,Sugya
Makkot 17a:4-6,Sugya
Makkot 17a:7-8,Mishnah
Makkot 17a:9-18a:2,Sugya
Makkot 18a:3-18b:2,Sugya
Makkot 18b:3-5,Sugya
Makkot 18b:6-14,Sugya
Makkot 18b:15-19a:1,Sugya
Makkot 19a:2-19b:2,Sugya
Makkot 19b:3-14,Sugya
Makkot 19b:15-20a:8,Sugya
Makkot 20a:9-11,Mishnah
Makkot 20a:12-20b:1,Sugya
Makkot 20b:2-5,Sugya
Makkot 20b:6-8,Sugya
Makkot 20b:9,Sugya
Makkot 20b:10-21a:3,Sugya
Makkot 21a:4,Sugya
Makkot 21a:5-9,Sugya
Makkot 21a:10,Mishnah
Makkot 21a:11-14,Sugya
Makkot 21a:15-21b:2,Mishnah
Makkot 21b:3,Sugya
Makkot 21b:4-22a:3,Sugya
Makkot 22a:4-14,Sugya
Makkot 22a:15-22b:1,Mishnah
Makkot 22b:2-6,Sugya
Makkot 22b:7,Mishnah
Makkot 22b:8-9,Sugya
Makkot 22b:10-13,Mishnah
Makkot 23a:1-5,Sugya
Makkot 23a:6-7,Sugya
Makkot 23a:8-9,Sugya
Makkot 23a:10-12,Sugya
Makkot 23a:13-14,Sugya
Makkot 23a:15-18,Sugya
Makkot 23a:19-23b:3,Mishnah
Makkot 23b:4-7,Sugya
Makkot 23b:8-17,Sugya
Makkot 23b:18-24a:27,Sugya
Makkot 24a:28-32,Sugya
Makkot 24a:33-24b:4,Sugya
