ref,type
Shevuot 2a:1-2b:11,Mishnah
Shevuot 2b:12-3a:5,Sugya
Shevuot 3a:6-9,Sugya
Shevuot 3a:10-5a:5,Sugya
Shevuot 5a:6-13,Sugya
Shevuot 5a:14-5b:5,Sugya
Shevuot 5b:6-6a:1,Sugya
Shevuot 6a:2-6b:2,Sugya
Shevuot 6b:3-7,Sugya
Shevuot 6b:8-14,Sugya
Shevuot 6b:15-7b:4,Sugya
Shevuot 7b:5-8a:4,Sugya
Shevuot 8a:5-15,Sugya
Shevuot 8a:16-17,Sugya
Shevuot 8a:18-8b:1,Sugya
Shevuot 8b:2-7,Sugya
Shevuot 8b:8-9a:4,Sugya
Shevuot 9a:5-9b:4,Sugya
Shevuot 9b:5-10a:6,Sugya
Shevuot 10a:7-17,Sugya
Shevuot 10a:18-10b:1,Sugya
Shevuot 10b:2-6,Sugya
Shevuot 10b:7-11b:9,Sugya
Shevuot 11b:10-12b:5,Sugya
Shevuot 12b:6-7,Sugya
Shevuot 12b:8-13b:2,Sugya
Shevuot 13b:3-14a:7,Sugya
Shevuot 14a:8-10,Sugya
Shevuot 14a:12-14b:7,Mishnah
Shevuot 14b:8-17,Sugya
Shevuot 14b:18-15a:5,Sugya
Shevuot 15a:6-15b:7,Sugya
Shevuot 15b:8-12,Sugya
Shevuot 15b:13-16a:1,Sugya
Shevuot 16a:2-17,Sugya
Shevuot 16b:1-4,Sugya
Shevuot 16b:5-9,Sugya
Shevuot 16b:10-17a:4,Sugya
Shevuot 17a:5-17b:7,Sugya
Shevuot 17b:8-11,Sugya
Shevuot 17b:12-18a:9,Sugya
Shevuot 18a:10-18b:3,Sugya
Shevuot 18b:4-6,Sugya
Shevuot 18b:7-11,Sugya
Shevuot 18b:12-19a:5,Sugya
Shevuot 19a:6-19b:2,Sugya
Shevuot 19b:3-11,Sugya
Shevuot 19b:13-14,Mishnah
Shevuot 19b:15-20a:3,Sugya
Shevuot 20a:4-20b:5,Sugya
Shevuot 20b:6-21a:3,Sugya
Shevuot 21a:4-21b:4,Sugya
Shevuot 21b:5-13,Sugya
Shevuot 21b:14-22a:2,Sugya
Shevuot 22a:3-6,Sugya
Shevuot 22a:7-8,Sugya
Shevuot 22a:9-22b:5,Sugya
Shevuot 22b:6-7,Sugya
Shevuot 22b:8-13,Sugya
Shevuot 22b:14-15,Mishnah
Shevuot 22b:16-23a:7,Sugya
Shevuot 23a:8-14,Sugya
Shevuot 23a:15-23b:2,Sugya
Shevuot 23b:3-8,Sugya
Shevuot 23b:9-13,Sugya
