ref,type
Sotah 2a:1-3,Mishnah
Sotah 2a:4-6,Sugya
Sotah 2a:7-9,Sugya
Sotah 2a:10-2b:27,Sugya
Sotah 2b:28-3a:4,Sugya
Sotah 3a:5-12,Sugya
Sotah 3a:13-3b:10,Sugya
Sotah 3b:11-14,Sugya
Sotah 3b:15-4b:3,Sugya
Sotah 4b:4-7,Sugya
Sotah 4b:8-5a:1,Sugya
Sotah 5a:2-5b:3,Sugya
Sotah 5b:4-6,Sugya
Sotah 5b:7-6a:8,Sugya
Sotah 6a:9,Mishnah
Sotah 6a:10-7a:2,Sugya
Sotah 7a:3,Mishnah
Sotah 7a:4-7,Sugya
Sotah 7a:8-15,Sugya
Sotah 7a:16-7b:2,Mishnah
Sotah 7b:3,Sugya
Sotah 7b:4-5,Sugya
Sotah 7b:6-12,Sugya
Sotah 7b:13-14,Sugya
Sotah 7b:15-8a:1,Sugya
Sotah 8a:2-3,Sugya
Sotah 8a:4-9,Sugya
Sotah 8a:10-8b:3,Sugya
Sotah 8b:4-7,Sugya
Sotah 8b:8-10,Sugya
Sotah 8b:11,Mishnah
Sotah 8b:12-9a:4,Sugya
Sotah 9a:5-14,Sugya
Sotah 9a:15-9b:3,Sugya
Sotah 9b:4-5,Sugya
Sotah 9b:6-10,Mishnah
Sotah 9b:11-10a:9,Sugya
Sotah 10a:10-15,Sugya
Sotah 10a:16-10b:12,Sugya
Sotah 10b:13-11a:2,Sugya
Sotah 11a:3-5,Sugya
Sotah 11a:6-11b:3,Sugya
Sotah 11b:4-10,Sugya
Sotah 11b:11-12a:7,Sugya
Sotah 12a:8-15,Sugya
Sotah 12a:16-13a:1,Sugya
Sotah 13a:2-12,Sugya
Sotah 13a:13-13b:12,Sugya
Sotah 13b:13-14a:10,Sugya
Sotah 14a:12-14,Mishnah
Sotah 14a:15-14b:7,Sugya
Sotah 14b:8,Sugya
Sotah 14b:9-15a:6,Sugya
Sotah 15a:7-15b:1,Sugya
Sotah 15b:2-3,Mishnah
Sotah 15b:4-16b:4,Sugya
Sotah 16b:5-13,Sugya
Sotah 16b:14-20,Sugya
Sotah 17a:1-5,Mishnah
Sotah 17a:6-14,Sugya
Sotah 17a:15-24,Sugya
Sotah 17a:25-17b:2,Mishnah
Sotah 17b:3-18a:2,Sugya
Sotah 18a:3-7,Sugya
Sotah 18a:8-12,Sugya
Sotah 18a:13-18b:5,Mishnah
Sotah 18b:6-11,Sugya
Sotah 18b:12-14,Sugya
Sotah 18b:15-19a:5,Sugya
Sotah 19a:7-8,Mishnah
Sotah 19a:9-11,Sugya
Sotah 19a:12-14,Sugya
Sotah 19a:15-20a:4,Sugya
Sotah 20a:5-8,Mishnah
Sotah 20a:9-20b:6,Sugya
Sotah 20b:7-9,Sugya
Sotah 20b:10-12,Sugya
Sotah 20b:13-21a:3,Sugya
Sotah 21a:4-17,Sugya
Sotah 21b:1-3,Sugya
Sotah 21b:4,Sugya
Sotah 21b:5-22a:3,Sugya
Sotah 22a:4-7,Sugya
Sotah 22a:8-22b:1,Sugya
Sotah 22b:2-6,Sugya
Sotah 22b:7-23a:6,Mishnah
Sotah 23a:7-23b:1,Sugya
Sotah 23b:2-5,Sugya
Sotah 23b:6-9,Sugya
Sotah 23b:10-12,Sugya
Sotah 23b:14-24a:9,Mishnah
Sotah 24a:10-25a:1,Sugya
Sotah 25a:2-11,Sugya
Sotah 25a:12-21,Sugya
Sotah 25a:22-25b:1,Sugya
Sotah 25b:2-26a:8,Sugya
Sotah 26a:9-11,Sugya
Sotah 26a:12,Sugya
Sotah 26a:13-14,Sugya
Sotah 26a:15,Sugya
Sotah 26a:16-26b:1,Sugya
Sotah 26b:2-16,Sugya
Sotah 26b:17-27a:6,Sugya
Sotah 27a:7-9,Sugya
Sotah 27a:10-27b:1,Sugya
Sotah 27b:3-14,Mishnah
Sotah 27b:15-28a:3,Sugya
Sotah 28a:4-17,Sugya
Sotah 28a:18-29a:12,Sugya
Sotah 29a:13-29b:8,Sugya
Sotah 29b:9-30a:2,Sugya
Sotah 30a:3-30b:8,Sugya
Sotah 30b:9-10,Sugya
Sotah 30b:11-15,Sugya
Sotah 30b:16-31a:2,Sugya
Sotah 31a:3-12,Sugya
Sotah 31a:14-31b:4,Mishnah
Sotah 31b:5-8,Sugya
Sotah 31b:9-32a:3,Sugya
Sotah 32a:5-32b:1,Mishnah
Sotah 32b:2-17,Sugya
Sotah 32b:18-33a:4,Sugya
Sotah 33a:5-9,Sugya
Sotah 33a:10-12,Sugya
Sotah 33a:13-33b:3,Sugya
Sotah 33b:4-10,Sugya
Sotah 33b:11-34a:10,Sugya
