ref,type
Tamid 25b:1-26a:4,Mishnah
Tamid 26a:5-10,Sugya
Tamid 26b:1-4,Sugya
Tamid 26b:5-6,Sugya
Tamid 26b:7-27a:1,Sugya
Tamid 27a:2-13,Sugya
Tamid 27a:14-27b:8,Sugya
Tamid 27b:9-17,Sugya
Tamid 27b:18-28a:4,Sugya
Tamid 28a:5-10,Sugya
Tamid 28a:11-28b:2,Mishnah
Tamid 28b:3-4,Sugya
Tamid 28b:5-6,Sugya
Tamid 28b:8-29a:5,Mishnah
Tamid 29a:6-29b:3,Sugya
Tamid 29b:4-30a:1,Sugya
Tamid 30a:2-3,Sugya
Tamid 30a:5-30b:11,Mishnah
Tamid 30b:13-31b:3,Mishnah
Tamid 31b:4-6,Sugya
Tamid 31b:7-11,Sugya
Tamid 31b:12-14,Sugya
Tamid 31b:15-32b:1,Sugya
Tamid 32b:2-33b:11,Sugya
