ref,type
Yoma 2a:1-2,Mishnah
Yoma 2a:3-7,Sugya
Yoma 2a:8-2b:4,Sugya
Yoma 2b:5-3b:8,Sugya
Yoma 3b:9-11,Sugya
Yoma 3b:12-4a:3,Sugya
Yoma 4a:4-9,Sugya
Yoma 4a:10-4b:2,Sugya
Yoma 4b:3-6,Sugya
Yoma 4b:7-11,Sugya
Yoma 4b:12-5a:12,Sugya
Yoma 5a:13-5b:6,Sugya
Yoma 5b:7-6a:3,Sugya
Yoma 6a:4-8a:5,Sugya
Yoma 8a:6-8b:1,Sugya
Yoma 8b:2-5,Sugya
Yoma 8b:6-9a:3,Sugya
Yoma 9a:4-5,Sugya
Yoma 9a:6-9b:2,Sugya
Yoma 9b:3-11,Sugya
Yoma 9b:12-10a:1,Sugya
Yoma 10a:2-6,Sugya
Yoma 10a:7-12,Sugya
Yoma 10a:13-11a:2,Sugya
Yoma 11a:3-6,Sugya
Yoma 11a:7-11b:3,Sugya
Yoma 11b:4-6,Sugya
Yoma 11b:7-9,Sugya
Yoma 11b:10-12a:2,Sugya
Yoma 12a:3-8,Sugya
Yoma 12a:9-12b:1,Sugya
Yoma 12b:2-10,Sugya
Yoma 12b:11-13a:2,Sugya
Yoma 13a:3-5,Sugya
Yoma 13a:6-13b:5,Sugya
Yoma 13b:6-14a:2,Sugya
Yoma 14a:3,Mishnah
Yoma 14a:4-14b:1,Sugya
Yoma 14b:2-15a:7,Sugya
Yoma 15a:8-15b:5,Sugya
Yoma 15b:6-17a:1,Sugya
Yoma 17a:2-17b:2,Sugya
Yoma 17b:3-18a:6,Sugya
Yoma 18a:7,Mishnah
Yoma 18a:8-10,Sugya
Yoma 18a:11-13,Sugya
Yoma 18a:14-18b:5,Sugya
Yoma 18b:6-7,Mishnah
Yoma 19a:1-12,Sugya
Yoma 19a:13-19b:1,Sugya
Yoma 19b:2-5,Sugya
Yoma 19b:6-10,Sugya
Yoma 19b:11,Mishnah
Yoma 19b:12-20a:1,Sugya
Yoma 20a:2,Mishnah
Yoma 20a:3-20b:3,Sugya
Yoma 20b:4-21a:2,Sugya
Yoma 21a:3-21b:3,Sugya
Yoma 21b:4-9,Sugya
Yoma 21b:10-14,Sugya
Yoma 22a:1-3,Mishnah
Yoma 22a:4-10,Sugya
Yoma 22a:11-22b:1,Sugya
Yoma 22b:2-7,Sugya
Yoma 22b:8-16,Sugya
Yoma 22b:17-23a:4,Sugya
Yoma 23a:5-10,Sugya
Yoma 23a:11-23b:3,Sugya
Yoma 23b:4-24a:4,Sugya
Yoma 24a:5,Sugya
Yoma 24a:6-24b:13,Sugya
Yoma 24b:14-25a:8,Sugya
Yoma 25a:9-11,Mishnah
Yoma 25a:12-25b:5,Sugya
Yoma 25b:6-10,Sugya
Yoma 25b:11-26a:1,Sugya
Yoma 26a:2,Mishnah
Yoma 26a:3-6,Sugya
Yoma 26a:7-11,Sugya
Yoma 26a:12-26b:1,Sugya
Yoma 26b:2-3,Mishnah
Yoma 26b:4-12,Sugya
Yoma 26b:13-14,Mishnah
Yoma 26b:15-27b:1,Sugya
Yoma 27b:2-28a:8,Sugya
Yoma 28a:10-11,Mishnah
Yoma 28b:1-2,Sugya
Yoma 28b:3-10,Sugya
Yoma 28b:11-13,Sugya
Yoma 28b:14-29a:6,Sugya
Yoma 29a:7-30a:5,Sugya
Yoma 30a:6,Mishnah
Yoma 30a:7-31a:4,Sugya
Yoma 31a:5-31b:1,Sugya
Yoma 31b:2,Sugya
Yoma 31b:3-5,Mishnah
Yoma 31b:6-32a:1,Sugya
Yoma 32a:2-32b:11,Sugya
Yoma 32b:12-33a:1,Sugya
Yoma 33a:2-33b:2,Sugya
Yoma 33b:3-34a:7,Sugya
Yoma 34a:8-34b:3,Sugya
Yoma 34b:4-6,Sugya
Yoma 34b:7-8,Mishnah
Yoma 35a:1,Sugya
Yoma 35a:2,Sugya
Yoma 35a:3-35b:5,Sugya
Yoma 35b:6-13,Sugya
Yoma 35b:14-15,Mishnah
Yoma 36a:1-5,Sugya
Yoma 36a:6-36b:4,Sugya
Yoma 36b:5-9,Sugya
Yoma 36b:10-37a:2,Sugya
Yoma 37a:3,Sugya
Yoma 37a:4-6,Mishnah
Yoma 37a:7-8,Sugya
Yoma 37a:9-11,Sugya
Yoma 37a:12-14,Sugya
Yoma 37a:15-37b:1,Sugya
Yoma 37b:2-3,Sugya
