English	Hebrew	Count	
Sefaria Community Translation	תרגום קהילת ספאריה	571	
Mishnah, ed. Romm, Vilna 1913	משנה, מהדורת בית דפוס ראם, וילנא 1913	311	
On Your Way	ובלכתך בדרך	292	
Vilna Edition	מהדורת וילנא	265	
Torat Emet 363	תורת אמת 363	163	
Rabbi Mike Feuer, Jerusalem Anthology	רבי מייק פוייר, לקט ירושלים	144	
ToratEmet	תורת-אמת	124	
Wikisource Mishneh Torah	משנה תורה (ויקיטקסט)	89	
Torat Emet 357	תורת אמת 357	75	
Maimonides' Mishneh Torah, edited by Philip Birnbaum, New York, 1967	משנה תורה להרמב״ם, נערך בידי פיליפ בירנבאום, ניו יורק 1967	64	
Talmud Bavli, Vilna 1883 ed.	תלמוד בבלי, מהדורת וילנא, 1883	53	
Tanach with Ta'amei Hamikra	תנ״ך מלווה בטעמי מקרא	39	
Mechon Mamre Talmud Yerushalmi	תלמוד ירושלמי בהוצאת מכון ממרא	39	
Tanach with Nikkud	תנ״ך עם ניקוד	39	
The Holy Scriptures: A New Translation (JPS 1917)	כתבי הקודש: תרגום חדש (1917 JPS)	39	
Tanach with Text Only	תנ״ך - טקסט בלבד	39	
Wikisource Talmud Bavli	תלמוד בבלי (ויקיטקסט)	37	
Chomat Anakh, Jerusalem 1965	חומת אנ״ך, ירושלים 1965	34	
Vilna edition	מהדורת וילנא	33	
Sefaria Responsa Anthology	לקט השו״ת של ספריא	30	
Minchat Shai	מנחת שי	29	
The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein	המשנה עם פירושי רבי עובדיה מברטנורא, רבי שרגא זילברשטיין	29	
YU Torah miTzion Beit Midrash	ישיבה-יוניברסיטי בית מדרש תורה מציון	29	
Mikraot Gedolot	מקראות גדולות	29	
Rabbi Dr. David Mevorach Seidenberg, from "Kabbalah and Ecology"	רבי וד״ר דוד מבורך סיידנברג, מתוך ״קבלה ואקולוגיה״	26	
Gerlitz edition, published by Oraita	מהדורת גרליץ, בהוצאת אורייתא	26	
William Davidson Edition - English	מהדורת וויליאם דייוידסון - אנגלית	26	
William Davidson Edition - Aramaic	מהדורת וויליאם דייוידסון - ארמית	25	
Open Mishnah	משנה פתוחה	24	
Radak on Nach	פירושי הרד״ק - נביאים וכתובים	23	
Chiddushei HaRamban, Jerusalem 1928-29	חידושי הרמב״ם, ירושלים 1928-29	22	
Talmud Bavli, Vilna, 1880.	תלמוד בבלי, וילנא, 1880	22	
Eliyahu Munk, HaChut Hameshulash	החוט המשולש, אליהו מונק	21	
OYW	OYW (ובלכתך בדרך)	18	
Tosafot Rid	תוספות רי״ד	18	
