1 Chron.,I Chronicles
1 Sam.,I Samuel
2 Chron.,II Chronicles
2 Sam.,II Samuel
Arach.,Arakhin
Ab. Zarah,Avodah Zarah
Abod. Zar.,Avodah Zarah
Bor. d’Melechet ha-Mishkan,Baraita DeMelekhet HaMishkan
B. Bath.,Bava Batra
B. Bathra,Bava Batra
B. Kama,Bava Kamma
B. Kamma,Bava Kamma
Baba K.,Bava Kamma
B. Mets.,Bava Metzia
B. Metsia,Bava Metzia
Bab. Mets.,Bava Metzia
Baba Mez.,Bava Metzia
Bech.,Bekhorot
Bechor.,Bekhorot
Bam. R.,Bemidbar Rabbah
Num. R.,Bemidbar Rabbah
Ber.,Berakhot
Berach.,Berakhot
Gem. R.,Bereishit Rabbah
Gen. R.,Bereishit Rabbah
Bicc.,Bikkurim
Chag.,Chagigah
Ch.,Chapter
Chap.,Chapter
Chul.,Chullin
Chull.,Chullin
Dan.,Daniel
Deut.,Deuteronomy
Deut. R.,Devarim Rabbah
Eccl.,Ecclesiastes
Engl.,English
Erub.,Eruvin
Est.,Esther
Esth.,Esther
Ex.,Exodus
Exod.,Exodus
Ez.,Ezekiel
Ezech,Ezekiel
Ezek.,Ezekiel
Gen.,Genesis
Gitt.,Gittin
Hab.,Habakkuk
Hor.,Horayot
Hos.,Hosea
Isa.,Isaiah
Jerem.,Jeremiah
Josh.,Joshua
Js.,Joshua
Jud.,Judges
Judg.,Judges
Kerith,Keritot
Keth.,Ketubot
Ketub.,Ketubot
Kid.,Kiddushin
Kidd.,Kiddushin
Kil.,Kilayim
Lam.,Lamentations
Lev.,Leviticus
Macc.,Makkot
Mal.,Malachi
Meg.,Megillah
Megil.,Megillah
Mech.,Mekhilta
Mech. on Ex.,Mekhilta
Men.,Menachot
Menach.,Menachot
Midrash R. Tanchuma,Midrash Tanchuma
Maas. Sheni,Ma'aser Sheni
M. Kat,Moed Katan
Nah.,Nahum
Ned.,Nedarim
Nedar.,Nedarim
Neg.,Negaim
Neh.,Nehemiah
Nid.,Niddah
Num.,Numbers
Numb.,Numbers
Ob.,Obadiah
Obad.,Obadiah
Ohal.,Oholot
O. Fr.,old French
O.F.,old French
Onk.,Onkelos
Pes.,Pesachim
Pesach.,Pesachim
Pesik. Rab.,Pesikta Rabbati
Pes. Zut.,Pesikta Zuta
P. d’R. Eliez.,Pirkei DeRabbi Eliezer
P.d’ R. Eliezer,Pirkei DeRabbi Eliezer
Pirké d’ R. Eliezer,Pirkei DeRabbi Eliezer
Prov.,Proverbs
Ps.,Psalms
Rabb.,Rabbah
Ab. Zar.,Avodah Zarah
R. Hash.,Rosh Hashanah
Rosh ha-Shanah,Rosh Hashanah
Ruth R.,Ruth Rabbah
Sam.,Samuel
Sanh.,Sanhedrin
Sabb.,Shabbat
Shek.,Shekalim
Ex. R.,Shemot Rabbah
Sheb.,Shevuot
Shebu.,Shevuot
Sifré,Sifrei
Siphra,Sifra
Succ.,Sukkah
Taan.,Taanit
Talm.,Talmud
Tem.,Temurah
Tern.,Temurah
Tanch.,Tanchuma
Targ. Jon.,Targum Jonathan on
Tosaph. Succ.,Tosafot on Sukkah
Tosaphot,Tosafot
Tos. Kidd.,Tosefta Kiddushin
Tosephta,Tosefta
Tos. Para,Tosefta Parah
Tos. Sota,Tosefta Sotah
Lev. R.,Vayikra Rabbah
Jalk.,Yalkut Shimoni
Yalk.,Yalkut Shimoni
Talm. Jer.,Jerusalem Talmud
Talm. Yer.,Jerusalem Talmud
Jeb.,Yevamot
Jebam.,Yevamot
Jom.,Yoma
Joma,Yoma
Zech.,Zechariah
Zeph.,Zephaniah
Zeb.,Zevachim
