Primary,Secondary,Secondary,Secondary,Secondary
תפלה,תפילה,,,
מצוות,מצוה,מצות,,
חוקים,חוקות,חוק,,
פסח,חג הפסח,חג המצות,,
סוכות,חג הסוכות,,,
שבועות,חג השבועות,חג הביכורים,עצרת,
משה,משה רבינו,,,
אברהם,אברהם אבינו,,,
אלוהים,אלקים,אלוקים,,
יום כיפור,יום הכיפורים,,,
יעקב,יעקב אבינו,,,
חגים,מועדי ישראל,מועדים,,
הגדה,הגדה של פסח,,,
פילוסופיה,מחשבת ישראל,,,
לימוד תורה,תלמוד תורה,,,
גמילות חסדים,חסד,,,
יוסף,יוסף הצדיק,,,
שמואל,שמואל הנביא,,,
יצחק,יצחק אבינו,,,
"נשים בתנ""ך",נשים במקרא,,,
חינוך,השכלה,,,
תהילים,תהלים,ספר תהלים,,
אהרון,אהרן,אהרן הכהן,,
שרה,שרה אמנו,,,
עמידה,שמונה עשרה,,,
עוני,עניות,,,
תלמוד,גמרא,,,
כסף,ממון,,,
מוסיקה,מוזיקה,,,
אומנות,אמנות,,,
הלבשה,בגדים,,,
אבלות,אבל,,,
רבקה,רבקה אמנו,,,
כוונה,תכלית,,,
הכרת הטוב,הכרת תודה,,,
חירות,חופש,,,
עימות,וויכוח,,,
נידה,נדה,,,
כיבוד הורים,כיבוד אב ואם,,,
ארבעה כוסות,ד' כוסות,,,
מונותאיזם,אחדות האל,,,
נשגבות,הפשטה,,,
תקוה,תקווה,,,
סמכותנות,משטר סמכותני,,,
