Ben_Ish_Hai.1	Bereshit	בראשית
Ben_Ish_Hai.2	Noakh	נח
Ben_Ish_Hai.3	Lekh Lekha	לך לך
Ben_Ish_Hai.4	Vayera	וירא
Ben_Ish_Hai.5	Khayei Sarah	חיי שרה
Ben_Ish_Hai.6	Toledot	תולדות
Ben_Ish_Hai.7	Vayetze	ויצא
Ben_Ish_Hai.8	Vayishlakh	וישלח
Ben_Ish_Hai.9	Vayeshev	וישב
Ben_Ish_Hai.10	Khanukkah	חנוכה
Ben_Ish_Hai.11	Miketz	מקץ
Ben_Ish_Hai.12	Vayigash	ויגש
Ben_Ish_Hai.13	Vayekhi	ויחי
Ben_Ish_Hai.14	Shemot	שמות
Ben_Ish_Hai.15	Vaera	וארא
Ben_Ish_Hai.16	Bo	בא
Ben_Ish_Hai.17	Beshalakh	בשלח
Ben_Ish_Hai.18	Yitro	יתרו
Ben_Ish_Hai.19	Mishpatim	משפטים
Ben_Ish_Hai.20	Terumah	תרומה
Ben_Ish_Hai.21	Tetzaveh	תצוה
Ben_Ish_Hai.22	Purim	פורים
Ben_Ish_Hai.23	Ki Tisa	כי תשא
Ben_Ish_Hai.24	Vayakhel	ויקהל
Ben_Ish_Hai.25	Pekudei	פקודי
Ben_Ish_Hai.26	Vayikra	ויקרא
Ben_Ish_Hai.27	Tzav Hilkhot Pesakh	צו הלכות פסח
Ben_Ish_Hai.28	Tzav Hilkhot Pesakh on Shabbat	צו הלכות פסח בשבת
Ben_Ish_Hai.29	Tzav Hilkhot Eiruv Tavshilin	צו הלכות עירוב תבשילין
Ben_Ish_Hai.30	Shemini	שמיני
Ben_Ish_Hai.31	Tazria	תזריע
Ben_Ish_Hai.32	Akharei Mot	אחרי מות
Ben_Ish_Hai.33	Emor	אמור
Ben_Ish_Hai.34	Behar	בהר
Ben_Ish_Hai.35	Bamidbar	במדבר
Ben_Ish_Hai.36	Naso	נשא
Ben_Ish_Hai.37	Behaalotkha	בהעלותך
Ben_Ish_Hai.38	Shelakh	שלח
Ben_Ish_Hai.39	Korakh	קרח
Ben_Ish_Hai.40	Khukat	חקת
Ben_Ish_Hai.41	Balak	בלק
Ben_Ish_Hai.42	Pinekhas	פינחס
Ben_Ish_Hai.43	Mattot	מטות
Ben_Ish_Hai.44	Masei	מסעי
Ben_Ish_Hai.45	Devarim	דברים
Ben_Ish_Hai.46	Vaetkhanan	ואתחנן
Ben_Ish_Hai.47	Ekev	עקב
Ben_Ish_Hai.48	Re'eh	ראה
Ben_Ish_Hai.49	Shoftim	שופטים
Ben_Ish_Hai.50	Ki Tetze	כי תצא
Ben_Ish_Hai.51	Ki Tavo	כי תבוא
Ben_Ish_Hai.52	Nitzavim	נצבים
Ben_Ish_Hai.53	Vayelekh	וילך
Ben_Ish_Hai.54	Haazinu	האזינו
Ben_Ish_Hai.55	Vezot Haberakha	וזאת הברכה
