Bemidbar Rabbah 10:6,"set([Ref('Genesis 27'), Ref('Judges 13:5'), Ref('Judges 13'), Ref('Judges 13:11'), Ref('Genesis 27:24')])"
Bartenura on Pirkei Avot 1:2:6,"set([Ref('Psalms 89:3'), Ref('Psalms 89')])"
Bereishit Rabbah 15:2,"set([Ref('Isaiah 51'), Ref('Ezekiel 31:9'), Ref('Isaiah 51:3'), Ref('Ezekiel 31')])"
Radak on Genesis 3:20:1,"set([Ref('Isaiah 66'), Ref('Psalms 145:21'), Ref('Psalms 145'), Ref('Isaiah 66:23')])"
Bereishit Rabbah 87:2,"set([Ref('Psalms 125:3'), Ref('Psalms 125')])"
Bemidbar Rabbah 10:4,"set([Ref('Proverbs 29:3'), Ref('Exodus 23:6'), Ref('Jeremiah 21'), Ref('Proverbs 22'), Ref('Genesis 3'), Ref('Proverbs 31:2'), Ref('Proverbs 8:14'), Ref('Genesis 6:12'), Ref('Deuteronomy 17'), Ref('Proverbs 31:8'), Ref('Proverbs 23'), Ref('Proverbs 31:4'), Ref('Proverbs 23:31'), Ref('Genesis 9'), Ref('Daniel 4:24'), Ref('Psalms 2'), Ref('Jeremiah 32:31'), Ref('Psalms 55'), Ref('Exodus 1:22'), Ref('Exodus 23'), Ref('Genesis 6'), Ref('Jeremiah 21:12'), Ref('Proverbs 31:3'), Ref('Proverbs 8'), Ref('Genesis 3:6'), Ref('Genesis 9:20'), Ref('Jeremiah 32'), Ref('Deuteronomy 17:17'), Ref('Daniel 4'), Ref('I Kings 11'), Ref('Psalms 55:20'), Ref('Proverbs 22:22'), Ref('Proverbs 31:9'), Ref('I Kings 11:1'), Ref('Exodus 1'), Ref('Proverbs 31:5'), Ref('Proverbs 31:1'), Ref('Proverbs 31'), Ref('Psalms 2:12'), Ref('Proverbs 29')])"
Bereishit Rabbah 76:8,"set([Ref('Job 9'), Ref('Job 9:24')])"
Bemidbar Rabbah 10:5,"set([Ref('II Kings 5:16'), Ref('Genesis 24'), Ref('Ruth 1'), Ref('Genesis 49:16'), Ref('Esther 1'), Ref('Joshua 15:33'), Ref('Genesis 20'), Ref('Jeremiah 51:59'), Ref('Judges 13:7'), Ref('Isaiah 11:2'), Ref('Genesis 6:2'), Ref('Numbers 29'), Ref('Genesis 12'), Ref('Numbers 22:17'), Ref('Psalms 139:6'), Ref('Genesis 24:29'), Ref('Genesis 20:18'), Ref('Judges 13'), Ref('Judges 13:6'), Ref('Judges 13:10'), Ref('Genesis 12:7'), Ref('Genesis 49'), Ref('Judges 13:2'), Ref('Judges 13:4'), Ref('Genesis 19'), Ref('Jeremiah 51'), Ref('Genesis 6:1'), Ref('Jeremiah 1'), Ref('Judges 13:22'), Ref('Judges 13:8'), Ref('Judges 13:16'), Ref('Psalms 58'), Ref('Joshua 19:41'), Ref('Psalms 58:4'), Ref('Judges 13:15'), Ref('Genesis 6'), Ref('Ezekiel 33'), Ref('Joel 1:1'), Ref('Esther 1:1'), Ref('Judges 13:12'), Ref('Judges 13:17'), Ref('Judges 13:9'), Ref('Joshua 6:26'), Ref('Ezekiel 13:19'), Ref('Psalms 5'), Ref('Genesis 19:8'), Ref('Judges 13:11'), Ref('II Kings 5'), Ref('Judges 13:13'), Ref('Joshua 19'), Ref('Judges 13:14'), Ref('Judges 13:3'), Ref('Joshua 6'), Ref('Isaiah 11'), Ref('Ezekiel 13'), Ref('Judges 13:18'), Ref('Ruth 1:1'), Ref('Psalms 139'), Ref('Numbers 22'), Ref('Ezekiel 33:24'), Ref('Judges 13:5'), Ref('Joel 1'), Ref('Joshua 15'), Ref('Numbers 29:35'), Ref('Psalms 5:4'), Ref('Jeremiah 1:5')])"
Bartenura on Pirkei Avot 2:7:8,"set([Ref('Isaiah 32:17'), Ref('Isaiah 32')])"
Bereishit Rabbah 65:10,"set([Ref('Proverbs 28:28'), Ref('Proverbs 28'), Ref('I Kings 14:4'), Ref('Isaiah 33:7'), Ref('I Kings 14'), Ref('Isaiah 33')])"
Rashi on Numbers 11:1:2,"set([Ref('Judges 14:4'), Ref('Judges 14')])"
Sifrei Devarim 105:15,"set([Ref('Numbers 18'), Ref('Numbers 18:27')])"
Bemidbar Rabbah 10:8,"set([Ref('Job 38'), Ref('Ecclesiastes 10:17'), Ref('Proverbs 23:32'), Ref('Isaiah 5'), Ref('Deuteronomy 33:21'), Ref('Genesis 3'), Ref('Psalms 51'), Ref('Deuteronomy 14:23'), Ref('Psalms 81:10'), Ref('Proverbs 23'), Ref('Psalms 51:8'), Ref('Exodus 32:16'), Ref('Exodus 32'), Ref('Psalms 81'), Ref('Proverbs 31'), Ref('Deuteronomy 14'), Ref('Genesis 3:17'), Ref('Exodus 18'), Ref('Job 38:36'), Ref('Proverbs 31:5'), Ref('Proverbs 23:29'), Ref('Exodus 18:21'), Ref('Ecclesiastes 10'), Ref('Isaiah 5:22'), Ref('Proverbs 23:30'), Ref('Deuteronomy 33')])"
Sifrei Devarim 109:11,"set([Ref('Numbers 18'), Ref('Numbers 18:21')])"
Bartenura on Mishnah Makkot 1:8:1,"set([Ref('Numbers 35'), Ref('Numbers 35:25')])"
Sefer HaYashar; CHAPTER XV Explaining The Time Which Is Most Proper For The Service Of God Blessed Be He 9,"set([Ref('Isaiah 65'), Ref('Isaiah 65:24')])"
Bemidbar Rabbah 11:7,"set([Ref('Jeremiah 3:22'), Ref('Deuteronomy 20:10'), Ref('Isaiah 40:26'), Ref('Jeremiah 23:29'), Ref('Job 33'), Ref('Job 25'), Ref('Job 25:2'), Ref('Deuteronomy 23'), Ref('Psalms 62:12'), Ref('Job 25:3'), Ref('Lamentations 3'), Ref('Exodus 20:1'), Ref('Jeremiah 3'), Ref('Exodus 15:3'), Ref('Daniel 7:10'), Ref('Isaiah 32'), Ref('Isaiah 9:6'), Ref('Deuteronomy 10'), Ref('Isaiah 63'), Ref('Psalms 68'), Ref('Jeremiah 23'), Ref('Judges 6:24'), Ref('Isaiah 40'), Ref('Numbers 25'), Ref('Leviticus 26:9'), Ref('Genesis 6:17'), Ref('Genesis 40:19'), Ref('Psalms 119'), Ref('Job 33:22'), Ref('Genesis 18'), Ref('Daniel 9'), Ref('Hosea 4'), Ref('Daniel 7'), Ref('Psalms 62'), Ref('Jeremiah 4'), Ref('Genesis 19'), Ref('Isaiah 63:3'), Ref('Joshua 10'), Ref('Hosea 10:11'), Ref('Isaiah 57'), Ref('Isaiah 55'), Ref('Deuteronomy 10:17'), Ref('Psalms 65'), Ref('Joshua 10:11'), Ref('Hosea 10'), Ref('Exodus 20'), Ref('Numbers 25:12'), Ref('Psalms 35'), Ref('Isaiah 54'), Ref('Exodus 15'), Ref('Psalms 29:11'), Ref('Genesis 15'), Ref('I Samuel 2'), Ref('Hosea 4:17'), Ref('Leviticus 26:6'), Ref('Genesis 15:15'), Ref('Genesis 19:24'), Ref('Jeremiah 4:14'), Ref('Deuteronomy 23:7'), Ref('Leviticus 20'), Ref('II Kings 19'), Ref('Judges 13:3'), Ref('Hosea 10:2'), Ref('Daniel 9:14'), Ref('Exodus 12'), Ref('Isaiah 9'), Ref('Judges 13'), Ref('Deuteronomy 20'), Ref('Genesis 6'), Ref('II Samuel 24:24'), Ref('Psalms 119:165'), Ref('Proverbs 3'), Ref('Judges 6'), Ref('Leviticus 20:6'), Ref('Psalms 145'), Ref('I Samuel 2:25'), Ref('II Samuel 24:22'), Ref('Genesis 40'), Ref('Exodus 12:29'), Ref('Genesis 19:21'), Ref('I Kings 5:6'), Ref('Isaiah 57:19'), Ref('Isaiah 32:17'), Ref('Isaiah 54:13'), Ref('Psalms 29'), Ref('Judges 11:13'), Ref('II Kings 19:35'), Ref('Psalms 68:18'), Ref('II Samuel 24'), Ref('Malachi 2:5'), Ref('Psalms 65:3'), Ref('Judges 11'), Ref('Isaiah 32:18'), Ref('Genesis 18:13'), Ref('Lamentations 3:44'), Ref('I Kings 5'), Ref('Malachi 2'), Ref('Isaiah 57:2'), Ref('Psalms 145:18'), Ref('Lamentations 3:38'), Ref('Isaiah 55:6'), Ref('Leviticus 26'), Ref('Judges 13:18'), Ref('Proverbs 3:17'), Ref('Psalms 35:6')])"
Sifrei Devarim 32:1,"set([Ref('Deuteronomy 6'), Ref('Deuteronomy 6:5')])"
Shemot Rabbah 25:8,"set([Ref('Jeremiah 36'), Ref('Jeremiah 36:24')])"
Bemidbar Rabbah 5:3,"set([Ref('Exodus 10'), Ref('Genesis 5:24'), Ref('Nahum 1:7'), Ref('Nahum 1'), Ref('II Samuel 21:1'), Ref('Isaiah 56:3'), Ref('Genesis 5'), Ref('II Samuel 21'), Ref('Isaiah 56'), Ref('Exodus 10:23')])"
Ein Yaakov (Glick Edition); Sotah 1:30,"set([Ref('Psalms 81:6'), Ref('Psalms 81')])"
