Exodus 1:1,ואלה שמות בני ישראל הבאים מצרימה את יעקב איש וביתו באו,1.16,17.07,1,11,14.78,1.34
Exodus 1:2,ראובן שמעון לוי ויהודה,17.07,24.92,2,4,6.74,1.69
Exodus 1:3,יששכר זבולן ובנימן,24.92,31.24,3,3,5.25,1.75
Exodus 1:4,דן ונפתלי גד ואשר,31.24,37.84,4,4,5.46,1.37
Exodus 1:5,ויהי כל־נפש יצאי ירך־יעקב שבעים נפש ויוסף היה במצרים,37.84,53.55,5,9,14.6,1.62
Exodus 1:6,וימת יוסף וכל־אחיו וכל הדור ההוא,53.55,63.98,6,6,9.34,1.56
Exodus 1:7,ובני ישראל פרו וישרצו וירבו ויעצמו במאד מאד ותמלא הארץ אתם,63.98,80.37,7,11,15.26,1.39
Exodus 1:8,ויקם מלך־חדש על־מצרים אשר לא־ידע את־יוסף,80.37,90.82,8,6,9.19999999999999,1.53
Exodus 1:9,ויאמר אל־עמו הנה עם בני ישראל רב ועצום ממנו,90.82,104.7,9,9,12.72,1.41
Exodus 1:10,הבה נתחכמה לו פן־ירבה והיה כי־תקראנה מלחמה ונוסף גם־הוא על־שנאינו ונלחם־בנו ועלה מן־הארץ,104.7,128.72,10,13,22.87,1.76
Exodus 1:11,וישימו עליו שרי מסים למען ענתו בסבלתם ויבן ערי מסכנות לפרעה את־פתם ואת־רעמסס,128.72,152.14,11,13,22.18,1.71
Exodus 1:12,וכאשר יענו אתו כן ירבה וכן יפרץ ויקצו מפני בני ישראל,152.14,169.7,12,11,16.39,1.49
Exodus 1:13,ויעבדו מצרים את־בני ישראל בפרך,169.7,179.84,13,5,8.96000000000001,1.79
Exodus 1:14,וימררו את־חייהם בעבדה קשה בחמר ובלבנים ובכל־עבדה בשדה את כל־עבדתם אשר־עבדו בהם בפרך,179.84,204.17,14,13,23.04,1.77
Exodus 1:15,ויאמר מלך מצרים למילדת העברית אשר שם האחת שפרה ושם השנית פועה,204.17,223.36,15,12,18.01,1.5
Exodus 1:16,ויאמר בילדכן את־העבריות וראיתן על־האבנים אם־בן הוא והמתן אתו ואם־בת היא וחיה,223.36,243.89,16,12,19.4,1.62
Exodus 1:17,ותיראן המילדת את־האלהים ולא עשו כאשר דבר אליהן מלך מצרים ותחיין את־הילדים,243.89,265.37,17,12,20.32,1.69
Exodus 1:18,ויקרא מלך־מצרים למילדת ויאמר להן מדוע עשיתן הדבר הזה ותחיין את־הילדים,265.37,284.76,18,11,18.28,1.66
Exodus 1:19,ותאמרן המילדת אל־פרעה כי לא כנשים המצרית העברית כי־חיות הנה בטרם תבוא אלהן המילדת וילדו,284.76,309.75,19,15,23.86,1.59
Exodus 1:20,וייטב אלהים למילדת וירב העם ויעצמו מאד,309.75,322.47,20,7,11.58,1.65
Exodus 1:21,ויהי כי־יראו המילדת את־האלהים ויעש להם בתים,322.47,336.89,21,7,13.3099999999999,1.9
Exodus 1:22,ויצו פרעה לכל־עמו לאמר כל־הבן הילוד היארה תשליכהו וכל־הבת תחיון,336.89,1.12,22,10,16.52,1.65
Exodus 2:1,וילך איש מבית לוי ויקח את־בת־לוי,1.12,9.49,1,6,7.27,1.21
Exodus 2:2,ותהר האשה ותלד בן ותרא אתו כי־טוב הוא ותצפנהו שלשה ירחים,9.49,24.88,2,11,14.3,1.3
Exodus 2:3,ולא־יכלה עוד הצפינו ותקח־לו תבת גמא ותחמרה בחמר ובזפת ותשם בה את־הילד ותשם בסוף על־שפת היאר,24.88,51.21,3,16,25.17,1.57
Exodus 2:4,ותתצב אחתו מרחק לדעה מה־יעשה לו,51.21,64.58,4,6,12.23,2.04
Exodus 2:5,ותרד בת־פרעה לרחץ על־היאר ונערתיה הלכת על־יד היאר ותרא את־התבה בתוך הסוף ותשלח את־אמתה ותקחה,64.58,89.39,5,15,23.64,1.58
Exodus 2:6,ותפתח ותראהו את־הילד והנה־נער בכה ותחמל עליו ותאמר מילדי העברים זה,89.39,109.43,6,11,18.9,1.72
Exodus 2:7,ותאמר אחתו אל־בת־פרעה האלך וקראתי לך אשה מינקת מן העברית ותינק לך את־הילד,109.43,132.01,7,13,21.48,1.65
Exodus 2:8,ותאמר־לה בת־פרעה לכי ותלך העלמה ותקרא את־אם הילד,132.01,145.92,8,8,12.8,1.6
Exodus 2:9,ותאמר לה בת־פרעה היליכי את־הילד הזה והינקהו לי ואני אתן את־שכרך ותקח האשה הילד ותניקהו,145.92,172.18,9,15,25.15,1.68
Exodus 2:10,ויגדל הילד ותבאהו לבת־פרעה ויהי־לה לבן ותקרא שמו משה ותאמר כי מן־המים משיתהו,172.18,195.46,10,13,22.16,1.7
Exodus 2:11,ויהי בימים ההם ויגדל משה ויצא אל־אחיו וירא בסבלתם וירא איש מצרי מכה איש־עברי מאחיו,195.46,217.05,11,15,20.5,1.37
Exodus 2:12,ויפן כה וכה וירא כי אין איש ויך את־המצרי ויטמנהו בחול,217.05,232.51,12,11,14.37,1.31
Exodus 2:13,ויצא ביום השני והנה שני־אנשים עברים נצים ויאמר לרשע למה תכה רעך,232.51,252.2,13,12,18.6,1.55
Exodus 2:14,ויאמר מי שמך לאיש שר ושפט עלינו הלהרגני אתה אמר כאשר הרגת את־המצרי ויירא משה ויאמר אכן נודע הדבר,252.2,284.44,14,19,31.12,1.64
Exodus 2:15,וישמע פרעה את־הדבר הזה ויבקש להרג את־משה ויברח משה מפני פרעה וישב בארץ־מדין וישב על־הבאר,284.44,306.35,15,15,20.8,1.39
