Leviticus 1:1,ויקרא אל משה וידבר יהוה אליו מאהל מועד לאמר,0.56,11.9,1,9,10.13,1.13
Leviticus 1:2,דבר אל בני ישראל ואמרת אלהם אדם כי יקריב מכם קרבן ליהוה מן הבהמה מן הבקר ומן הצאן תקריבו את קרבנכם,11.9,37.45,2,21,24.28,1.16
Leviticus 1:3,אם עלה קרבנו מן הבקר זכר תמים יקריבנו אל פתח אהל מועד יקריב אתו לרצנו לפני יהוה,37.45,58.87,3,17,20.15,1.19
Leviticus 1:4,וסמך ידו על ראש העלה ונרצה לו לכפר עליו,58.87,70.13,4,9,10.14,1.13
Leviticus 1:5,ושחט את בן הבקר לפני יהוה והקריבו בני אהרן הכהנים את הדם וזרקו את הדם על המזבח סביב אשר פתח אהל מועד,70.13,97.68,5,22,26.3,1.2
Leviticus 1:6,והפשיט את העלה ונתח אתה לנתחיה,97.68,106.31,6,6,7.41999999999999,1.24
Leviticus 1:7,ונתנו בני אהרן הכהן אש על המזבח וערכו עצים על האש,106.31,123.51,7,11,15.97,1.45
Leviticus 1:8,וערכו בני אהרן הכהנים את הנתחים את הראש ואת הפדר על העצים אשר על האש אשר על המזבח,123.51,146.29,8,18,21.43,1.19
Leviticus 1:9,וקרבו וכרעיו ירחץ במים והקטיר הכהן את הכל המזבחה עלה אשה ריח ניחוח ליהוה,146.29,163.67,9,14,16.06,1.15
Leviticus 1:10,ואם מן הצאן קרבנו מן הכשבים או מן העזים לעלה זכר תמים יקריבנו,163.67,177.67,10,13,12.63,0.97
Leviticus 1:11,ושחט אתו על ירך המזבח צפנה לפני יהוה וזרקו בני אהרן הכהנים את דמו על המזבח סביב,177.67,205.69,11,17,26.7,1.57
Leviticus 1:12,ונתח אתו לנתחיו ואת ראשו ואת פדרו וערך הכהן אתם על העצים אשר על האש אשר על המזבח,205.69,226.59,12,18,19.61,1.09
Leviticus 1:13,והקרב והכרעים ירחץ במים והקריב הכהן את הכל והקטיר המזבחה עלה הוא אשה ריח ניחח ליהוה,226.59,249.28,13,16,21.51,1.34
Leviticus 1:14,ואם מן העוף עלה קרבנו ליהוה והקריב מן התרים או מן בני היונה את קרבנו,249.28,266.85,14,15,16.21,1.08
Leviticus 1:15,והקריבו הכהן אל המזבח ומלק את ראשו והקטיר המזבחה ונמצה דמו על קיר המזבח,266.85,286.16,15,14,17.89,1.28
Leviticus 1:16,והסיר את מראתו בנצתה והשליך אתה אצל המזבח קדמה אל מקום הדשן,286.16,304.46,16,12,17.07,1.42
Leviticus 1:17,ושסע אתו בכנפיו לא יבדיל והקטיר אתו הכהן המזבחה על העצים אשר על האש עלה הוא אשה ריח ניחח ליהוה,304.46,0.62,17,20,25.55,1.28
Leviticus 2:1,ונפש כי תקריב קרבן מנחה ליהוה סלת יהיה קרבנו ויצק עליה שמן ונתן עליה לבנה,0.62,23.82,1,15,21.97,1.46
Leviticus 2:2,והביאה אל בני אהרן הכהנים וקמץ משם מלא קמצו מסלתה ומשמנה על כל לבנתה והקטיר הכהן את אזכרתה המזבחה אשה ריח ניחח ליהוה,23.82,61.46,2,23,36.49,1.59
Leviticus 2:3,והנותרת מן המנחה לאהרן ולבניו קדש קדשים מאשי יהוה,61.46,75.48,3,9,12.87,1.43
Leviticus 2:4,וכי תקרב קרבן מנחה מאפה תנור סלת חלות מצת בלולת בשמן ורקיקי מצות משחים בשמן,75.48,93.75,4,15,17.05,1.14
Leviticus 2:5,ואם מנחה על המחבת קרבנך סלת בלולה בשמן מצה תהיה,93.75,105.79,5,10,10.83,1.08
Leviticus 2:6,פתות אתה פתים ויצקת עליה שמן מנחה הוא,105.79,117.6,6,8,10.48,1.31
Leviticus 2:7,ואם מנחת מרחשת קרבנך סלת בשמן תעשה,117.6,127.32,7,7,8.57000000000001,1.22
