Numbers 1:1,וידבר יהוה אל־משה במדבר סיני באהל מועד באחד לחדש השני בשנה השנית לצאתם מארץ מצרים לאמר,1.17,28.37,1,16,25.99,1.62
Numbers 1:2,שאו את־ראש כל־עדת בני־ישראל למשפחתם לבית אבתם במספר שמות כל־זכר לגלגלתם,28.37,46.01,2,11,16.5,1.5
Numbers 1:3,מבן עשרים שנה ומעלה כל־יצא צבא בישראל תפקדו אתם לצבאתם אתה ואהרן,46.01,62.04,3,12,14.89,1.24
Numbers 1:4,ואתכם יהיו איש איש למטה איש ראש לבית־אבתיו הוא,62.04,75.04,4,9,11.83,1.31
Numbers 1:5,ואלה שמות האנשים אשר יעמדו אתכם לראובן אליצור בן־שדיאור,75.04,92.92,5,9,16.76,1.86
Numbers 1:6,לשמעון שלמיאל בן־צורישדי,92.92,102.82,6,3,8.7,2.9
Numbers 1:7,ליהודה נחשון בן־עמינדב,102.82,112.75,7,3,8.81,2.94
Numbers 1:8,ליששכר נתנאל בן־צוער,112.75,120.67,8,3,6.84,2.28
Numbers 1:9,לזבולן אליאב בן־חלן,120.67,129.56,9,3,7.76000000000001,2.59
Numbers 1:10,לבני יוסף לאפרים אלישמע בן־עמיהוד למנשה גמליאל בן־פדהצור,129.56,148.36,10,8,17.67,2.21
Numbers 1:11,לבנימן אבידן בן־גדעני,148.36,156.31,11,3,6.82999999999998,2.28
Numbers 1:12,לדן אחיעזר בן־עמישדי,156.31,165.21,12,3,7.74000000000001,2.58
Numbers 1:13,לאשר פגעיאל בן־עכרן,165.21,174.16,13,3,7.84,2.61
Numbers 1:14,לגד אליסף בן־דעואל,174.16,182.97,14,3,7.71000000000001,2.57
Numbers 1:15,לנפתלי אחירע בן־עינן,182.97,190.36,15,3,6.28999999999999,2.1
Numbers 1:16,אלה קריאי [קרואי] העדה נשיאי מטות אבותם ראשי אלפי ישראל הם,190.36,205.19,16,11,13.71,1.25
Numbers 1:17,ויקח משה ואהרן את האנשים האלה אשר נקבו בשמות,205.19,217.96,17,9,11.51,1.28
Numbers 1:18,ואת כל־העדה הקהילו באחד לחדש השני ויתילדו על־משפחתם לבית אבתם במספר שמות מבן עשרים שנה ומעלה לגלגלתם,217.96,244.51,18,17,25.39,1.49
Numbers 1:19,כאשר צוה יהוה את־משה ויפקדם במדבר סיני,244.51,255.68,19,7,10.06,1.44
Numbers 1:20,ויהיו בני־ראובן בכר ישראל תולדתם למשפחתם לבית אבתם במספר שמות לגלגלתם כל־זכר מבן עשרים שנה ומעלה כל יצא צבא,255.68,281.76,20,19,24.97,1.31
Numbers 1:21,פקדיהם למטה ראובן ששה וארבעים אלף וחמש מאות,281.76,293.13,21,8,10.18,1.27
Numbers 1:22,לבני שמעון תולדתם למשפחתם לבית אבתם פקדיו במספר שמות לגלגלתם כל־זכר מבן עשרים שנה ומעלה כל יצא צבא,293.13,317.86,22,18,23.56,1.31
Numbers 1:23,פקדיהם למטה שמעון תשעה וחמשים אלף ושלש מאות,317.86,329.52,23,8,10.39,1.3
Numbers 1:24,לבני גד תולדתם למשפחתם לבית אבתם במספר שמות מבן עשרים שנה ומעלה כל יצא צבא,329.52,348.07,24,15,17.41,1.16
Numbers 1:25,פקדיהם למטה גד חמשה וארבעים אלף ושש מאות וחמשים,348.07,360.96,25,9,11.76,1.31
Numbers 1:26,לבני יהודה תולדתם למשפחתם לבית אבתם במספר שמת מבן עשרים שנה ומעלה כל יצא צבא,360.96,379.76,26,15,17.71,1.18
Numbers 1:27,פקדיהם למטה יהודה ארבעה ושבעים אלף ושש מאות,379.76,391.2,27,8,10.24,1.28
Numbers 1:28,לבני יששכר תולדתם למשפחתם לבית אבתם במספר שמת מבן עשרים שנה ומעלה כל יצא צבא,391.2,410,28,15,17.72,1.18
Numbers 1:29,פקדיהם למטה יששכר ארבעה וחמשים אלף וארבע מאות,410,422.05,29,8,10.86,1.36
Numbers 1:30,לבני זבולן תולדתם למשפחתם לבית אבתם במספר שמת מבן עשרים שנה ומעלה כל יצא צבא,422.05,441,30,15,17.85,1.19
Numbers 1:31,פקדיהם למטה זבולן שבעה וחמשים אלף וארבע מאות,441,453.06,31,8,10.85,1.36
