key,type,place,people,time
"Sefer HaMitzvot, Negative Commandments 284:1",negative mitzvah,Anywhere,beit din,all times
"Sefer HaMitzvot, Positive Commandments 153:1",positive mitzvah,Anywhere,beit din,all times
"Sefer HaMitzvot, Positive Commandments 242:1",positive mitzvah,Anywhere,beit din,all times
"Sefer HaMitzvot, Negative Commandments 90:1",negative mitzvah,Anywhere,indeterminate,all times
"Sefer HaMitzvot, Negative Commandments 247:1",negative mitzvah,Anywhere,indeterminate,all times
"Sefer HaMitzvot, Negative Commandments 89:1",negative mitzvah,Anywhere,indeterminate,all times
"Sefer HaMitzvot, Positive Commandments 85:1",positive mitzvah,Anywhere,indeterminate,time of Temple
"Sefer HaMitzvot, Positive Commandments 128:1",positive mitzvah,Anywhere,indeterminate,time of Temple
"Sefer HaMitzvot, Positive Commandments 237:1",positive mitzvah,Anywhere,indeterminate,Unknown specific time
"Sefer HaMitzvot, Negative Commandments 294:1",negative mitzvah,Anywhere,indeterminate,all times
"Sefer HaMitzvot, Negative Commandments 242:1",negative mitzvah,Anywhere,indeterminate,all times
"Sefer HaMitzvot, Negative Commandments 159:1",negative mitzvah,Anywhere,kohanim,all times
"Sefer HaMitzvot, Negative Commandments 167:1",negative mitzvah,Anywhere,kohanim,time of Temple
"Sefer HaMitzvot, Negative Commandments 168:1",negative mitzvah,Anywhere,kohanim,time of Temple
"Sefer HaMitzvot, Positive Commandments 26:1",positive mitzvah,Anywhere,kohanim,all times
"Sefer HaMitzvot, Negative Commandments 158:1",negative mitzvah,Anywhere,kohanim,all times
"Sefer HaMitzvot, Negative Commandments 160:1",negative mitzvah,Anywhere,kohanim,all times
"Sefer HaMitzvot, Negative Commandments 135:1",negative mitzvah,Anywhere,kohanim,Unknown specific time
"Sefer HaMitzvot, Positive Commandments 143:1",positive mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 37:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 57:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 66:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 269:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Positive Commandments 203:1",positive mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 306:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 298:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 216:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 236:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Positive Commandments 94:1",positive mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 268:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 267:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 240:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 280:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 357:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 293:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 253:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 60:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Positive Commandments 154:1",positive mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 238:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Positive Commandments 206:1",positive mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 314:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 17:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 18:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 19:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 20:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 21:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 24:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 171:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Positive Commandments 150:1",positive mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 232:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 231:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Negative Commandments 233:1",negative mitzvah,Anywhere,men & women,time of Temple
"Sefer HaMitzvot, Negative Commandments 114:1",negative mitzvah,Anywhere,men & women,all times
"Sefer HaMitzvot, Positive Commandments 176:1",positive mitzvah,Anywhere,men & women,Unknown specific time
